item_id,coicop4_id,start_date,end_date,desc
320126,20200,202202,999999,Tobacco
320201,20200,199602,200201,Tobacco
320205,20200,199602,999999,Tobacco
320206,20200,199602,999999,Tobacco
410105,40100,199602,999999,Actual rentals for housing
410107,110200,200002,999999,Accommodation services
410108,40100,200202,999999,Actual rentals for housing
410109,40100,201302,201501,Actual rentals for housing
410110,40100,201302,201501,Actual rentals for housing
410115,40100,201502,999999,Actual rentals for housing
410401,40403,199602,999999,Sewerage collection
410402,40401,199602,999999,Water supply
410403,40401,199602,999999,Water supply
410404,40401,199602,200301,Water supply
410405,40403,200102,999999,Sewerage collection
410501,40302,199602,200501,Services for maintenance and repair
410502,40302,199602,199901,Services for maintenance and repair
410504,40302,199602,199901,Services for maintenance and repair
410508,40302,199602,999999,Services for maintenance and repair
410509,40302,199602,999999,Services for maintenance and repair
410511,40302,199602,201001,Services for maintenance and repair
410512,40302,199902,201001,Services for maintenance and repair
410513,40302,199602,199701,Services for maintenance and repair
410514,40302,199602,200101,Services for maintenance and repair
410515,40302,199602,200101,Services for maintenance and repair
410516,40302,200002,201301,Services for maintenance and repair
410517,40302,200102,999999,Services for maintenance and repair
410518,40302,200502,999999,Services for maintenance and repair
410602,40301,199602,999999,Materials for maintenance and repair
410603,40301,199602,201401,Materials for maintenance and repair
410604,40301,199602,199701,Materials for maintenance and repair
410605,40301,199602,201501,Materials for maintenance and repair
410607,40301,199602,999999,Materials for maintenance and repair
410610,50500,199602,201601,Tools and equipment for house and garden
410611,50500,199602,999999,Tools and equipment for house and garden
410613,50500,199602,199701,Tools and equipment for house and garden
410614,50500,199602,999999,Tools and equipment for house and garden
410618,40301,199602,201101,Materials for maintenance and repair
410619,40301,199602,202001,Materials for maintenance and repair
410620,40301,199602,200501,Materials for maintenance and repair
410621,40301,199602,999999,Materials for maintenance and repair
410622,40301,199602,201601,Materials for maintenance and repair
410623,40302,199702,200901,Services for maintenance and repair
410624,40301,199702,200501,Materials for maintenance and repair
410625,50500,199702,999999,Tools and equipment for house and garden
410626,40301,199702,201501,Materials for maintenance and repair
410627,50500,200202,201201,Tools and equipment for house and garden
410628,40301,200202,201301,Materials for maintenance and repair
410629,40301,200502,999999,Materials for maintenance and repair
410630,40301,200602,201501,Materials for maintenance and repair
410631,40301,200702,999999,Materials for maintenance and repair
410632,50500,200902,999999,Tools and equipment for house and garden
410633,40301,201102,999999,Materials for maintenance and repair
410636,40301,201502,201601,Materials for maintenance and repair
410637,40301,201502,999999,Materials for maintenance and repair
410638,50601,201502,999999,Non-durable household goods
410639,40301,201602,999999,Materials for maintenance and repair
410703,40100,199602,200001,Actual rentals for housing
420101,40504,199602,202201,Solid Fuels
420102,40504,199602,199801,Solid Fuels
420103,40504,199602,999999,Solid Fuels
420104,40504,199602,200001,Solid Fuels
420201,40501,199602,999999,Electricity
420301,40502,199602,999999,Gas All
420401,40503,199602,200001,Liquid Fuels
420402,40503,199602,200001,Liquid Fuels
420403,40503,199602,200001,Liquid Fuels
420404,40502,199602,999999,Gas All
420405,40503,199902,999999,Liquid Fuels
430101,50101,199602,999999,Furniture and furnishings
430102,50101,199602,199901,Furniture and furnishings
430103,50101,199602,200501,Furniture and furnishings
430104,50101,199602,999999,Furniture and furnishings
430105,50101,199602,199901,Furniture and furnishings
430106,50101,199602,199901,Furniture and furnishings
430108,50101,199602,202201,Furniture and furnishings
430110,50101,199602,200601,Furniture and furnishings
430112,50101,199602,201401,Furniture and furnishings
430117,50101,199602,199901,Furniture and furnishings
430118,50101,199602,201701,Furniture and furnishings
430119,50101,199602,999999,Furniture and furnishings
430120,50101,199602,999999,Furniture and furnishings
430121,50101,199702,199801,Furniture and furnishings
430122,50101,199702,202201,Furniture and furnishings
430123,50101,199702,200601,Furniture and furnishings
430124,50101,199702,200401,Furniture and furnishings
430125,50101,199702,199801,Furniture and furnishings
430126,50101,199702,200101,Furniture and furnishings
430127,50101,199802,999999,Furniture and furnishings
430128,50101,199802,200101,Furniture and furnishings
430129,50101,199902,201701,Furniture and furnishings
430130,50101,200102,200301,Furniture and furnishings
430131,50101,200202,200501,Furniture and furnishings
430132,50101,200302,999999,Furniture and furnishings
430133,50101,200302,999999,Furniture and furnishings
430134,50101,200302,999999,Furniture and furnishings
430135,50101,200402,201901,Furniture and furnishings
430136,50101,200502,999999,Furniture and furnishings
430137,50101,200502,999999,Furniture and furnishings
430138,50101,200602,999999,Furniture and furnishings
430139,50101,201302,999999,Furniture and furnishings
430140,50101,201402,999999,Furniture and furnishings
430141,50101,201702,999999,Furniture and furnishings
430142,50101,201802,999999,Furniture and furnishings
430143,50101,201902,999999,Furniture and furnishings
430144,50101,202202,999999,Furniture and furnishings
430202,50102,199602,200301,Carpets and other floor coverings
430203,50102,199602,200801,Carpets and other floor coverings
430204,50102,199602,201401,Carpets and other floor coverings
430206,50200,199602,201801,Household textiles
430211,50200,199602,999999,Household textiles
430213,50101,200002,200301,Furniture and furnishings
430214,50200,199602,200101,Household textiles
430215,50102,199602,200801,Carpets and other floor coverings
430216,50200,199602,999999,Household textiles
430219,50200,199602,200201,Household textiles
430221,50102,199702,199801,Carpets and other floor coverings
430222,50102,199702,200901,Carpets and other floor coverings
430223,50200,199702,200101,Household textiles
430224,50200,199702,999999,Household textiles
430225,50102,199802,200001,Carpets and other floor coverings
430226,50102,200002,201701,Carpets and other floor coverings
